Authorstudy_time,被SR引用的次数
Corley A 2015,13
Parke R 2013,10
Yu Y 2017,9
Futier E 2016,8
Sahin M 2018,8
Wong DT 2019,7
Lodenius A 2018,6
Vourch M 2019,6
Stephan F 2015,5
Mir F 2017,5
Brainard J 2017,5
Jaber S 2016,5
Sjoblom A 2021,5
Guitton C 2019,4
Vourch M 2015,4
Heinrich S 2014,4
Rosen J 2021,4
Zochios V 2018 ,4
Fulton R 2021,4
Ferrando 2019,4
Riccio CA 2019,4
Frat JP 2019,4
Burra V 2021,3
Sun T 2017,3
Ansari BM 2016,3
Ng I 2018,3
Simon M 2016,3
Theologou S 2021,3
Richter RP 2019,2
Testa G 2014,2
Beshish AG 2023,2
Kumar A 2022,2
Rosen J 2022,2
Zhou S 2021,2
Hanouz JL 2019,2
Hua Z 2020 ,2
Pennis MA 2019,2
Jayashankar JP 2020,2
Hamp 2020,2
Savluk OF 2021,2
Ricottilli F 2019,2
Jiang W 2020,2
Xu XP 2018,2
Geng XH 2016,2
Duan X 2021,2
Pennisi MA 2019,2
Hernández G 2016,2
Soliman HAZ 2022,2
Chua MT 2022,2
Kindgen-Milles D 2005,2
Vourch 2020,2
Tan D 2020,2
Douglas N 2018,2
Wong DT 2011,2
Hewidy AA 2016,2
Lyons C 2021,2
Osman YM 2021,2
Tremey B 2020,2
Tatsuishi 2020,2
Dhillon NK 2017,2
Hernández G 2016-s,2
Theologou S 2021,2
Chen Gj 2018,2
Rajan S 2018,2
Shimizu T 2023,1
Stevens H 2021,1
Schutzer-Weissmann J 2022,1
Simon M 2019,1
Enayati F 2021,1
Scodellaro T 2017,1
Balasubramanian K 2022,1
Parashar N 2019,1
Sebastian H 2014,1
Tatsuishi W 2019 ,1
Teng WN 2019,1
Lin Y 2019,1
Ben-Menachem E 2020,1
Stephan F 2017,1
Brigatto P 2014,1
Gaszynski T 2007,1
Corley A 2011,1
Sago T 2015,1
Coudroy 2016,1
Frat JP 2015,1
Jones 2016,1
Lemiale 2015,1
Nagata 2015,1
Rittayamai 2015,1
Roca 2015,1
Bell 2015,1
Shippam W 2019,1
Li 2023,1
Karlupia 2023,1
Pessoa KC 2010 ,1
Zoremba M 2011,1
El-Sayed KM 2012,1
Cavalcanti MGO 2018,1
Baltieri L 2014,1
Guimaraes J 2016 ,1
Kizil oz SP 2012,1
Ebeo CT 2002,1
Joris JL 1997,1
Alexandropoulou AN 2019,1
Rosen 2021,1
Pillai A 2016,1
Rodriguez 2021,1
Guy L 2021,1
SchutzerWeissmann 2021,1
Lee JH 2021,1
Wei W 2022 ,1
Sago T 2021,1
Sharluyan A 2021,1
Lei G 2023,1
Ran L 2022,1
Riva T 2018,1
El-Nori AA 2023,1
Zhu X 2022,1
Conway A 2021,1
Wang 2022,1
Shiho 2022,1
Rucker G 2015,1
Lee JH 2013,1
Jing G 2019,1
Higgins JPT 2003,1
Luo D 2018,1
Maggiore SM 2022,1
Hozo SP 2005,1
Song HZ 2017,1
Cho JY 2020,1
Fernandez R 2017,1
Mohamed KAE 2013,1
Ferrer M 2006,1
Keenan SP 2002,1
Khilnani GC 2011,1
Pibul 2021,1
Shioji N 2019,1
Y M WU 2022,1
Burra 2019,1
Zhu GF 2013,1
Vargas F 2017,1
Su CL 2012,1
Thanthitaweewat V 2018,1
Bohner H 2000,1
Gupta SD 2008,1
Maggiore SM 2014,1
Abrard S 2023,1
Mazullo Filho JBR 2010,1
Lockstone J 2022,1
Olper L 2017,1
Pearse R 2021,1
Squadrone V 2005,1
Yang Y 2016,1
Antonelli M 2000,1
Auriant I 2001,1
Frassanito L 2023,1
Zarbock A 2009,1
Merry AF 2022,1
Vourch M 2023,1
Ciril MF 2024,1
Li J 2024,1
Takakuwa O,1
Allam 2022,1
Baillard C 2006,1
"Li, X.-N 2022",1
Shahul Hameed 2024,1
Gupta S 2016,1
Nong L 2020,1
Baillard C 2018,1
Wu YM 2022,1
Nava S 2005,0
